,Obiettivo_Sostenibilita,Numero_Progetti,Somma_finanziata
0,7 Affordable and Clean Energy,82,311321685
1,13 Climate Action,53,139135505
2,11 Sustainable Cities and Communities,40,318092831
3,3 Good Health and Well Being,34,98917877
4,12 Responsible Consumption and Production,25,199551657
5,"16 Peace, Justice and Strong Institutions",23,7537352
6,2 Zero Hunger,21,90328741
7,4 Quality Education,15,15812081
8,"9 Industry, Innovation and Infrastructure",13,298867713
9,8 Decent Work and Economic Growth,9,10467178
10,10 Reduced Inequalities,9,4224395
11,15 Life on Land,7,7203903
12,6 Clean Water and Sanitation,4,5628593
13,14 Life Below Water,4,6744462
14,1 No Poverty,3,2291171
15,5 Gender Equality,1,2200332
