Title_translated,Funding_Amount_in_EUR,Start_Date,Start_Year,End_Date,End_Year,Research_Organization_original,Research_Organization_standardized,Country_of_Research_organization,Funder,Funder_Group,Funder_Country,Fields_of_Research_ANZSRC_2020,RCDC_Categories,HRCS_HC_Categories,HRCS_RAC_Categories,Cancer_Types,CSO_Categories,Units_of_Assessment,Sustainable_Development_Goals,topic
"Advancing understanding of Cumulative Impacts on European marine biodiversity, ecosystem functions and services for human wellbeing",10632000.0,2023-03-01,2023.0,2027-02-28,2027.0,"Norwegian Institute of Marine Research; UiT The Arctic University of Norway; Swansea University; University of Helsinki; Department for Environment, Food and Rural Affairs; Plymouth Marine Laboratory; Royal Netherlands Academy of Arts and Sciences; National and Kapodistrian University of Athens; Ecopath International Initiative; Hellenic Centre for Marine Research; Institute of Biodiversity and Ecosystem Research; University of Montpellier; University of Naples Federico II; University of St Andrews; Alfred Wegener Institute for Polar and Marine Research; University of Pisa; Israel Oceanographic and Limnological Research; International Council for the Exploration of the Sea; ETH Zurich; Tel Aviv University; Consorzio Nazionale Interuniversitario per le Scienze del Mare; Technical University of Denmark; French Research Institute for Exploitation of the Sea; Norwegian Institute for Water Research; University of Porto; Marine Biological Association of the United Kingdom; University of Rostock; Carl von Ossietzky University of Oldenburg; FONDAZIONE CENTRO EURO-MEDITERRANEOSUI CAMBIAMENTI CLIMATICI; Institut de Recherche pour le Développement; Dutch Research Council; Universidade de Vigo; Stockholm University; Middle East Technical University; Wageningen University & Research","Dutch Research Council; Norwegian Institute of Marine Research; UiT The Arctic University of Norway; Swansea University; University of Helsinki; Department for Environment, Food and Rural Affairs; Plymouth Marine Laboratory; Royal Netherlands Academy of Arts and Sciences; National and Kapodistrian University of Athens; Ecopath International Initiative; Hellenic Centre for Marine Research; Institute of Biodiversity and Ecosystem Research; University of Montpellier; University of Naples Federico II; University of St Andrews; Alfred Wegener Institute for Polar and Marine Research; University of Pisa; Israel Oceanographic and Limnological Research; International Council for the Exploration of the Sea; ETH Zurich; Tel Aviv University; Consorzio Nazionale Interuniversitario per le Scienze del Mare; Technical University of Denmark; French Research Institute for Exploitation of the Sea; Norwegian Institute for Water Research; University of Porto; Marine Biological Association of the United Kingdom; University of Rostock; Carl von Ossietzky University of Oldenburg; Institut de Recherche pour le Développement; Universidade de Vigo; Stockholm University; Middle East Technical University; Wageningen University & Research",Netherlands; Norway; Norway; United Kingdom; Finland; United Kingdom; United Kingdom; Netherlands; Greece; Spain; Greece; Bulgaria; France; Italy; United Kingdom; Germany; Italy; Israel; Denmark; Switzerland; Israel; Italy; Denmark; France; Norway; Portugal; United Kingdom; Germany; Germany; France; Spain; Sweden; Turkey; Netherlands,European Commission,cOAlition S; EC & ERC - European Union,Belgium,41 Environmental Sciences; 4104 Environmental Management,,,,,,C14 Geography and Environmental Studies,13 Climate Action,cumulative impact
Harnessing the microbial potential of fermented foods for healthy and sustainable food systems,10815148.0,2023-03-01,2023.0,2028-02-29,2028.0,"Austrian Institute of Technology; Vrije Universiteit Amsterdam; Imperial College London; LES NOUVEAUX AFFINEURS; Technical University of Munich; INRAE TRANSFERT SAS; University of Naples Federico II; MOOREPARK TECHNOLOGY LTD; University of Turin; Spanish National Research Council; HERBEL CREST LIMITED; Teagasc - The Irish Agriculture and Food Development Authority; Green Spot Technologies; INSTITUT NATIONAL DES SCIENCES ET INDUSTRIES DU VIVANT ET DE L'ENVIRONNEMENT - AGROPARISTECH; University of Trento; AKTSIASELTS TOIDU- JA FERMENTATSIOONITEHNOLOOGIA ARENDUSKESKUS; Centre de Recherche en Nutrition Humaine d'Auvergne; National Research Institute for Agriculture, Food and Environment; Institut de Recherche pour le Développement; F.LLI MERANO SOCIETA PER AZIONI; European Food Information Council","National Research Institute for Agriculture, Food and Environment; Austrian Institute of Technology; Vrije Universiteit Amsterdam; Imperial College London; Technical University of Munich; University of Naples Federico II; University of Turin; Spanish National Research Council; Teagasc - The Irish Agriculture and Food Development Authority; University of Trento; Centre de Recherche en Nutrition Humaine d'Auvergne; Institut de Recherche pour le Développement; European Food Information Council",France; Austria; Netherlands; United Kingdom; Germany; Italy; Italy; Spain; Ireland; Italy; France; France; Belgium,European Commission,cOAlition S; EC & ERC - European Union,Belgium,32 Biomedical and Clinical Sciences; 3210 Nutrition and Dietetics; 42 Health Sciences; 4206 Public Health,Genetics; Human Genome; Nutrition; Obesity; Prevention,Cardiovascular; Metabolic and endocrine; Oral and gastrointestinal,,,,"A06 Agriculture, Veterinary and Food Science",12 Responsible Consumption and Production; 2 Zero Hunger,microbial fermentation
TRAnsparent InterpretabLe robots,2062404.0,2023-03-01,2023.0,2027-02-28,2027.0,PAL ROBOTICS SL; University of Manchester; University of Naples Federico II; Institut National des Sciences Appliquées de Toulouse; Universität Hamburg; University of Padua; Spanish National Research Council; Comenius University; Honda (Germany); Seed Cognitiva - Robotics Innovation Lda; IT+Robotics (Italy); Center of Applied Aeronautical Research; French National Centre for Scientific Research; SoftBank Robotics (France); United Robotics Group GmbH,Universität Hamburg; University of Manchester; University of Naples Federico II; Institut National des Sciences Appliquées de Toulouse; University of Padua; Spanish National Research Council; Comenius University; Honda (Germany); IT+Robotics (Italy); Center of Applied Aeronautical Research; French National Centre for Scientific Research; SoftBank Robotics (France),Germany; United Kingdom; Italy; France; Italy; Spain; Slovakia; Germany; Italy; Germany; France; France,European Commission,cOAlition S; EC & ERC - European Union,Belgium,46 Information and Computing Sciences; 4602 Artificial Intelligence; 4608 Human-Centred Computing,,,,,,B11 Computer Science and Informatics,,transparent ai
Safe underground Hydrogen storage IN porous subsurface rEservoirs,2136946.0,2023-02-01,2023.0,2027-01-31,2027.0,University of Naples Federico II; Eni (Italy); Spanish National Research Council; Institut Néel; Universitat Politècnica de Catalunya; Schlumberger (United Kingdom); CHEVRON NORTH SEA LIMITED; SEISMIK S.R.O; Shell (Netherlands); University of Edinburgh; Delft University of Technology; Repsol Sinopec Resources UK Limited,University of Naples Federico II; Eni (Italy); Spanish National Research Council; Institut Néel; Universitat Politècnica de Catalunya; Schlumberger (United Kingdom); Shell (Netherlands); University of Edinburgh; Delft University of Technology,Italy; Italy; Spain; France; Spain; United Kingdom; Netherlands; United Kingdom; Netherlands,European Commission,cOAlition S; EC & ERC - European Union,Belgium,37 Earth Sciences; 3705 Geology; 46 Information and Computing Sciences,,,,,,B12 Engineering,7 Affordable and Clean Energy,hydrogen storage
Hybrid-Electric Regional Architecture,34979440.0,2023-01-01,2023.0,2026-12-31,2026.0,"Airbus (France); IMDEA Materials; Israel Aerospace Industries (Israel); AVIONS DE TRANSPORT REGIONAL; RATIER FIGEAC SAS; ALMADESIGN CONCEITO E DESENVOLVIMENTO DE DESIGN LDA; STICHTING KONINKLIJK NEDERLANDS LUCHT - EN RUIMTEVAARTCENTRUM; Rolls-Royce (Germany); Honeywell (Czechia); National Higher French Institute of Aeronautics and Space; DREAM INNOVATION SRL; Fraunhofer Society; GOODRICH CONTROL SYSTEMS PRIVATE UNLIMITED COMPANY; Aeromechs (Italy); UNIFIED INTERNATIONAL; Safran (France); University of Naples Federico II; PROTOM GROUP SPA; Siemens (France); Airbus (Germany); Aernnova (Spain); Office National d'Études et de Recherches Aérospatiales; German Aerospace Center; Siemens (Belgium); EASN Technology Innovation Services BVBA; THALES AVS FRANCE SAS; Piaggio Aerospace (Italy); AERTEC SOLUTIONS SL; Raytheon Technologies (Italy); Łukasiewicz Research Network; Polytechnic University of Turin; Politecnico di Milano; Italian Aerospace Research Centre; University of Nottingham; General Electric (Italy); National Institute for Aerospace Research Elie Carafoli; Instituto de Soldadura e Qualidade; SIEMENS ELECTRONIC DESIGN AUTOMATION GMBH; LEONARDO - SOCIETA PER  AZIONI; Airbus (Spain); MTU Aero Engines (Germany); Institute of Mechanical Engineering and Industrial Mangement; University of Patras; Technical University of Madrid; HIT09 (Italy); Delft University of Technology; COLLINS AEROSPACE IRELAND, LIMITED",Airbus (France); IMDEA Materials; Israel Aerospace Industries (Israel); Rolls-Royce (Germany); Honeywell (Czechia); National Higher French Institute of Aeronautics and Space; Fraunhofer Society; Aeromechs (Italy); Safran (France); University of Naples Federico II; Siemens (France); Airbus (Germany); Aernnova (Spain); Office National d'Études et de Recherches Aérospatiales; German Aerospace Center; Siemens (Belgium); EASN Technology Innovation Services BVBA; Piaggio Aerospace (Italy); Raytheon Technologies (Italy); Łukasiewicz Research Network; Polytechnic University of Turin; Politecnico di Milano; Italian Aerospace Research Centre; University of Nottingham; General Electric (Italy); National Institute for Aerospace Research Elie Carafoli; Instituto de Soldadura e Qualidade; Airbus (Spain); MTU Aero Engines (Germany); Institute of Mechanical Engineering and Industrial Mangement; University of Patras; Technical University of Madrid; HIT09 (Italy); Delft University of Technology,France; Spain; Israel; Germany; Czechia; France; Germany; Italy; France; Italy; France; Germany; Spain; France; Germany; Belgium; Belgium; Italy; Italy; Poland; Italy; Italy; Italy; United Kingdom; Italy; Romania; Portugal; Spain; Germany; Portugal; Greece; Spain; Italy; Netherlands,European Commission,cOAlition S; EC & ERC - European Union,Belgium,40 Engineering; 4001 Aerospace Engineering,,,,,,B12 Engineering,7 Affordable and Clean Energy,hybrid-elec
"Low-Cost, Circular, plug & play, off grid Energy for Remote Locations including Hydrogen (LOCEL-H2)",6193128.0,2023-01-01,2023.0,2026-12-31,2026.0,RESEAUX HYDROGENE DECARBONE RHYDE; Atomic Energy and Alternative Energies Commission; Hoppecke (Germany); University of Naples Federico II; University of Gabès; Loughborough University; SUNKOFA ENERGY; INTERNATIONA LEAD ASSOCIATION; Lahore University of Management Sciences,Atomic Energy and Alternative Energies Commission; Hoppecke (Germany); University of Naples Federico II; University of Gabès; Loughborough University; Lahore University of Management Sciences,France; Germany; Italy; Tunisia; United Kingdom; Pakistan,European Commission,cOAlition S; EC & ERC - European Union,Belgium,40 Engineering; 4008 Electrical Engineering,,,,,,B12 Engineering,13 Climate Action; 7 Affordable and Clean Energy,locel-h2 off-grid energy
innovative Energy Storage TEchnologies TOwards increased Renewables integration and Efficient Operation,8098455.0,2023-01-01,2023.0,2025-12-31,2025.0,"CUERVA ENERGIA SLU; CUADROS ELECTRICOS NAZARENOS SL; ETHNIKO KENTRO EREVNAS KAI TECHNOLOGIKIS ANAPTYXIS; ORIZWN ANONYMH TECHNIKI ETAIREIA; EUROPEAN DYNAMICS ADVANCED INFORMATION TECHNOLOGY AND TELECOMMUNICATION SYSTEMS SA; NIO GMBH; ETHNICON METSOVION POLYTECHNION; Fraunhofer Society; Institute for Systems and Computer Engineering of Porto; EUROPEAN DYNAMICS LUXEMBOURG SA; University of Naples Federico II; Luxembourg Institute of Science and Technology; VASCO DA GAMA COLAB - ENERGY STORAGE - ASSOCIACAO; REGULATORY ASSISTANCE PROJECT; REEFILLA S.R.L.; F6S NETWORK IRELAND LIMITED; AGGREGERING SL; ENERGY STORAGE SOLUTIONS SL; STEKLARNA HRASTNIK DRUZBA ZA PROIZVPROIZVODNJO STEKLENIH IZDELKOV DOO; SAMSO SPA; University of Malaga; CLUSTER VIOOIKONOMIAS KAI PERIVALLONTOS DYTIKIS MAKEDONIAS; Engineering (Italy); STUDIO ELEKTRONIKE RIJEKA DOO; EEM EMPRESA DE ELECTRICIDADE DA MADEIRA SA; GREEN POWER STORAGE SOLUTIONS(GPSS) S.A; COMSENSUS, KOMUNIKACIJE IN SENZORIKA, DOO; Carlos III University of Madrid",Fraunhofer Society; Institute for Systems and Computer Engineering of Porto; University of Naples Federico II; Luxembourg Institute of Science and Technology; University of Malaga; Engineering (Italy); Carlos III University of Madrid,Germany; Portugal; Italy; Luxembourg; Spain; Italy; Spain,European Commission,cOAlition S; EC & ERC - European Union,Belgium,"40 Engineering; 4008 Electrical Engineering; 4009 Electronics, Sensors and Digital Hardware",,,,,,B12 Engineering,13 Climate Action; 7 Affordable and Clean Energy,energy storage
"Switching european food systems for a just, healthy and sustainable dietary transition through knowledge and innovation",10427094.0,2023-01-01,2023.0,2026-12-31,2026.0,"AGENZIA REGIONALE PER L'ATTUAZIONEDEI PROGRAMMI REGIONALI IN CAMPO AGRICOLO E PER LO SVILUPPO RURALE (LAORE SARDEGNA); KUTXA FUNDAZIOA; AGRO CAMERA AZIENDA SPECIALE DELLA CAMERA DI COMMERCIO, INDUSTRIA, ARTIGIANATO E AGRICOLTURA DI ROMA PER L'AGROALIMENTARE; University of Naples Federico II; RISE Research Institutes of Sweden; POSTI S.R.L.; École Polytechnique Fédérale de Lausanne; VEREIN ZUR FORDERUNG EINER NACHHALTIGEN URBANEN KULTUR EV; FUTURE FOOD INSTITUTE ETS; Basque Culinary Center; International Institute for Applied Systems Analysis; Basque Centre for Climate Change; KUTXAGESTION ZERBITZUAK S.L.; University of Campania Luigi Vanvitelli; Wageningen University & Research; National Research Institute for Agriculture, Food and Environment; FONDAZIONE CENTRO EURO-MEDITERRANEOSUI CAMBIAMENTI CLIMATICI; Leibniz Centre for Agricultural Landscape Research; Antistatique SA; Technical University of Madrid; Chalmers University of Technology","University of Naples Federico II; RISE Research Institutes of Sweden; École Polytechnique Fédérale de Lausanne; Basque Culinary Center; International Institute for Applied Systems Analysis; Basque Centre for Climate Change; University of Campania Luigi Vanvitelli; Wageningen University & Research; National Research Institute for Agriculture, Food and Environment; Leibniz Centre for Agricultural Landscape Research; Technical University of Madrid; Chalmers University of Technology",Italy; Sweden; Switzerland; Spain; Austria; Spain; Italy; Netherlands; France; Germany; Spain; Sweden,European Commission,cOAlition S; EC & ERC - European Union,Belgium,44 Human Society; 4410 Sociology,Nutrition,,,,,B11 Computer Science and Informatics,12 Responsible Consumption and Production,food sustainability
AdvanSiC - Advances in Cost-Effective HV SiC Power Devices for Europe’s Medium Voltage Grids,3242373.0,2023-01-01,2023.0,2025-12-31,2025.0,MERSEN FRANCE LA MURE SAS; mqSemi AG; I.CO.P (Italy); MERSEN FRANCE PONTARLIER SAS; University of Naples Federico II; FTCAP GMBH; ABB (Italy); Mersen (France); National Research Council; University of Nottingham; DEEP CONCEPT; University of Warwick; GAMESA ELECTRIC SOCIEDAD ANONIMA; Ikerlan,Ikerlan; I.CO.P (Italy); University of Naples Federico II; ABB (Italy); Mersen (France); National Research Council; University of Nottingham; University of Warwick,Spain; Italy; Italy; Italy; France; Italy; United Kingdom; United Kingdom,European Commission,cOAlition S; EC & ERC - European Union,Belgium,"40 Engineering; 4009 Electronics, Sensors and Digital Hardware",,,,,,B12 Engineering,7 Affordable and Clean Energy,sic power cost
Inflammation in human early life: targeting impacts on life-course health,6858523.0,2023-01-01,2023.0,2028-12-31,2028.0,Linköping University; University of Aberdeen; University of Helsinki; University Medical Center Groningen; University of Naples Federico II; Spanish National Research Council; University of Florida; Karolinska Institute; Örebro University; University of Turku,University of Turku; Linköping University; University of Aberdeen; University of Helsinki; University Medical Center Groningen; University of Naples Federico II; Spanish National Research Council; University of Florida; Karolinska Institute; Örebro University,Finland; Sweden; United Kingdom; Finland; Netherlands; Italy; Spain; United States; Sweden; Sweden,European Commission,cOAlition S; EC & ERC - European Union,Belgium,31 Biological Sciences; 32 Biomedical and Clinical Sciences; 3204 Immunology,Clinical Research; Pediatric; Pediatric Research Initiative; Prevention; Vaccine Related,Generic health relevance; Inflammatory and immune system,1.1 Normal biological development and functioning; 2.1 Biological and endogenous factors; 2.2 Factors relating to the physical environment; 2.5 Research design and methodologies (aetiology),Not Site-Specific Cancer,2.1 Exogenous Factors in the Origin and Cause of Cancer,"A02 Public Health, Health Services and Primary Care",,inflammation's effect on long-term health
